ime,letnik,kilometrina,motor,menjalnik,cena,cas
Toyota RAV4,2008,104731 km,"diesel motor, 2231 ccm, 100 kW  / 136 KM",ročni menjalnik (6 pr.),10490€,"(8, 11)"
BMW Serija 3,2004,343000 km,"diesel motor, 1995 ccm, 85 kW  / 116 KM",ročni menjalnik (5 pr.),2590€,"(8, 11)"
Renault Clio,2014,106989 km,"diesel motor, 1461 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),7200€,"(8, 11)"
Opel Astra,2012,188000 km,"diesel motor, 1956 ccm, 121 kW  / 165 KM",ročni menjalnik (6 pr.),6800€,"(8, 11)"
Nissan Juke,2011,110000 km,"bencinski motor, 1618 ccm, 140 kW  / 191 KM",ročni menjalnik (6 pr.),9100€,"(8, 11)"
Mercedes-Benz CLS-Razred,2005,250000 km,"bencinski motor, 3498 ccm, 200 kW  / 273 KM",avtomatski menjalnik / tiptronic,7780€,"(8, 11)"
Hyundai Coupe,2007,170000 km,"bencinski motor, 1599 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),3790€,"(8, 11)"
Renault Grand Scenic 1.9 dCi,2008,340000 km,"diesel motor, 1870 ccm, 81 kW  / 110 KM",ročni menjalnik (6 pr.),1650€,"(8, 11)"
Mitsubishi Carisma,2001,300000 km,"bencinski motor, 1597 ccm, 76 kW  / 104 KM",ročni menjalnik (5 pr.),390€,"(8, 11)"
Volkswagen Passat,2006,400000 km,"diesel motor, 1968 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),3500€,"(8, 11)"
Alfa Romeo 159,2007,180000 km,"diesel motor, 1910 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),4500€,"(8, 11)"
Volkswagen Polo,2014,119343 km,"diesel motor, 1422 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),8470€,"(8, 11)"
Ford Mondeo,2009,320000 km,"diesel motor, 1997 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),3450€,"(8, 11)"
Opel Astra,2007,92000 km,"bencinski motor, 1600 ccm, 85 kW  / 116 KM",ročni menjalnik (5 pr.),3590€,"(8, 11)"
Audi A6,2006,248000 km,"bencinski motor, 3123 ccm, 188 kW  / 256 KM",avtomatski menjalnik / tiptronic,3500€,"(8, 11)"
Peugeot 308,2011,148000 km,"bencinski motor, 1598 ccm, 147 kW  / 200 KM",ročni menjalnik (6 pr.),7290€,"(8, 11)"
Volkswagen Passat,2016,165000 km,"diesel motor, 1598 ccm, 88 kW  / 120 KM",ročni menjalnik (6 pr.),14700€,"(8, 11)"
BMW Serija 3,2003,290000 km,"diesel motor, 2993 ccm, 150 kW  / 205 KM",avtomatski menjalnik,3950€,"(8, 11)"
Audi A6,2015,161000 km,"diesel motor, 1968 ccm, 140 kW  / 191 KM",ročni menjalnik (6 pr.),22500€,"(8, 11)"
Mitsubishi Carisma,1997,262000 km,"bencinski motor, 1597 ccm, 73 kW  / 100 KM",ročni menjalnik (5 pr.),150€,"(8, 11)"
Peugeot 207,2008,157510 km,"diesel motor, 1398 ccm, 50 kW  / 68 KM",ročni menjalnik (5 pr.),3200€,"(8, 11)"
Volkswagen Touran,2013,161000 km,"diesel motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (6 pr.),10390€,"(8, 11)"
Peugeot 308,2011,172114 km,"diesel motor, 1560 ccm, 68 kW  / 93 KM",ročni menjalnik (5 pr.),4990€,"(8, 11)"
Škoda Octavia,2013,77000 km,"bencinski motor, 1197 ccm, 77 kW  / 105 KM",ročni menjalnik (6 pr.),10300€,"(8, 11)"
Opel Insignia,2009,148255 km,"diesel motor, 1956 ccm, 118 kW  / 161 KM",ročni menjalnik (6 pr.),5999€,"(8, 11)"
Volkswagen Golf,2011,344523 km,"diesel motor, 1598 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),4999€,"(8, 11)"
Fiat Punto,2006,157725 km,"bencinski motor, 1242 ccm, 44 kW  / 60 KM",ročni menjalnik (5 pr.),1399€,"(8, 11)"
Kia CeeD,2010,117000 km,"bencinski motor, 1396 ccm, 80 kW  / 109 KM",ročni menjalnik (5 pr.),4399€,"(8, 11)"
Citroen C4,2009,206000 km,"diesel motor, 1560 ccm, 80 kW  / 109 KM",avtomatski menjalnik,3999€,"(8, 11)"
BMW Serija 5,2003,141770 km,"bencinski motor, 2494 ccm, 141 kW  / 192 KM",ročni menjalnik (6 pr.),5999€,"(8, 11)"
Audi A6,2010,244000 km,"diesel motor, 2967 ccm, 176 kW  / 240 KM",avtomatski menjalnik / tiptronic,11650€,"(8, 11)"
BMW Serija X1,2010,166057 km,"diesel motor, 1995 ccm, 130 kW  / 177 KM",ročni menjalnik (6 pr.),11990€,"(12, 11)"
Renault Megane,2001,279000 km,"bencinski motor, 1598 ccm, 79 kW  / 108 KM",ročni menjalnik (5 pr.),599€,"(12, 11)"
Volkswagen Passat,2015,125875 km,"diesel motor, 1968 ccm, 140 kW  / 191 KM",avtomatski menjalnik,19390€,"(12, 11)"
Renault Clio,1999,102000 km,"bencinski motor, 1149 ccm, 43 kW  / 59 KM",ročni menjalnik (5 pr.),790€,"(12, 11)"
Renault Megane,2005,190000 km,"diesel motor, 1461 ccm, 74 kW  / 101 KM",ročni menjalnik (5 pr.),550€,"(12, 11)"
Renault Laguna,2007,109300 km,"bencinski motor, 1998 ccm, 125 kW  / 170 KM",ročni menjalnik (6 pr.),2900€,"(12, 11)"
Renault Scenic,2009,154000 km,"diesel motor, 1461 ccm, 78 kW  / 106 KM",ročni menjalnik (6 pr.),4500€,"(12, 11)"
Škoda Octavia,2012,161000 km,"diesel motor, 1968 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),3600€,"(12, 11)"
Opel Astra,2009,188000 km,"diesel motor, 1686 ccm, 81 kW  / 110 KM",ročni menjalnik (6 pr.),4199€,"(12, 11)"
Mercedes-Benz E-Razred,2015,138378 km,"diesel motor, 2143 ccm, 125 kW  / 170 KM",avtomatski menjalnik,25880€,"(12, 11)"
BMW Serija 5,2014,160000 km,"diesel motor, 1995 ccm, 140 kW  / 191 KM",avtomatski menjalnik,20880€,"(12, 11)"
Volkswagen Touran,2016,130000 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",avtomatski menjalnik,7600€,"(12, 11)"
Škoda Octavia,2016,148893 km,"diesel motor, 1598 ccm, 81 kW  / 110 KM",ročni menjalnik (5 pr.),11990€,"(12, 11)"
Volkswagen Golf,2011,176593 km,"diesel motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),8900€,"(12, 11)"
Renault Megane,2004,280000 km,"diesel motor, 1870 ccm, 88 kW  / 120 KM",ročni menjalnik (6 pr.),800€,"(12, 11)"
Peugeot RCZ,2013,174000 km,"diesel motor, 1997 ccm, 120 kW  / 164 KM",ročni menjalnik (6 pr.),13990€,"(12, 11)"
Mercedes-Benz A-Razred,2008,113000 km,"bencinski motor, 1498 ccm, 70 kW  / 95 KM",ročni menjalnik (5 pr.),6490€,"(12, 11)"
Volkswagen Golf,2015,148500 km,"diesel motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),10490€,"(12, 11)"
BMW Serija 5,2011,155098 km,"diesel motor, 1995 ccm, 120 kW  / 164 KM",avtomatski menjalnik / tiptronic,15290€,"(12, 11)"
Volkswagen Golf,2005,176000 km,"diesel motor, 1896 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),4390€,"(12, 11)"
Chevrolet Cruze,2010,133690 km,"bencinski motor, 1796 ccm, 104 kW  / 142 KM",avtomatski menjalnik,4480€,"(12, 11)"
Volkswagen Touran,2004,323000 km,"diesel motor, 1896 ccm, 74 kW  / 101 KM",ročni menjalnik (6 pr.),3000€,"(12, 11)"
Toyota RAV4,2015,47300 km,"diesel motor, 1998 ccm, 91 kW  / 124 KM",ročni menjalnik (6 pr.),18300€,"(12, 11)"
Volkswagen Golf,2013,146000 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),12930€,"(12, 11)"
Citroen Xsara,2003,317000 km,"diesel motor, 1997 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),800€,"(12, 11)"
Peugeot 407,2005,241620 km,"diesel motor, 1997 ccm, 100 kW  / 136 KM",ročni menjalnik (6 pr.),2490€,"(12, 11)"
Citroen Xsara,2003,300000 km,"diesel motor, 1997 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),1250€,"(12, 11)"
Opel Mokka,2013,143000 km,"diesel motor, 1686 ccm, 96 kW  / 131 KM",ročni menjalnik (6 pr.),12490€,"(12, 11)"
Fiat Punto,2000,150000 km,"bencinski motor, 37 kW  / 50 KM",ročni menjalnik (5 pr.),120€,"(12, 11)"
Renault Clio,1999,280000 km,"bencinski motor, 1149 ccm, 43 kW  / 59 KM",ročni menjalnik (5 pr.),250€,"(12, 11)"
Mercedes-Benz E-Razred,2003,307000 km,"diesel motor, 3222 ccm, 150 kW  / 205 KM",avtomatski menjalnik,3850€,"(12, 11)"
Renault Megane,2006,141000 km,"diesel motor, 1461 ccm, 63 kW  / 86 KM",ročni menjalnik (5 pr.),1850€,"(12, 11)"
Chevrolet Aveo,2006,130000 km,"bencinski motor, 1150 ccm, 53 kW  / 72 KM",ročni menjalnik (5 pr.),250€,"(12, 11)"
Citroen Berlingo,2013,140023 km,"diesel motor, 1560 ccm, 68 kW  / 93 KM",ročni menjalnik (5 pr.),8499€,"(12, 11)"
Citroen Berlingo,2012,104000 km,"diesel motor, 1560 ccm, 68 kW  / 93 KM",ročni menjalnik (5 pr.),7650€,"(12, 11)"
Peugeot Partner,2012,153900 km,"diesel motor, 1560 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),5990€,"(12, 11)"
Mitsubishi Outlander,2008,211000 km,"diesel motor, 1968 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),8200€,"(12, 11)"
Ford Ranger,2014,89000 km,"diesel motor, 2198 ccm, 110 kW  / 150 KM",avtomatski menjalnik,21000€,"(12, 11)"
Hyundai i30,2013,104000 km,"diesel motor, 1396 ccm, 66 kW  / 90 KM",ročni menjalnik (6 pr.),8750€,"(12, 11)"
Seat Leon,2016,39200 km,"bencinski motor, 1984 ccm, 213 kW  / 290 KM",ročni menjalnik (6 pr.),22990€,"(12, 11)"
Renault Clio,2003,196000 km,"bencinski motor, 1390 ccm, 72 kW  / 98 KM",ročni menjalnik (5 pr.),890€,"(12, 11)"
BMW Serija 3,2012,108500 km,"bencinski motor, 1997 ccm, 180 kW  / 245 KM",avtomatski menjalnik,23200€,"(12, 11)"
Fiat Doblo,2001,210000 km,"bencinski motor, 1242 ccm, 48 kW  / 65 KM",ročni menjalnik (5 pr.),1490€,"(12, 11)"
Fiat 500,2013,126000 km,"bencinski motor, 1368 ccm, 70 kW  / 95 KM",ročni menjalnik (6 pr.),7100€,"(12, 11)"
Renault Grand Scenic TCe 130 Energy Bose,2017,12312 km,"bencinski motor, 1197 ccm, 97 kW  / 132 KM",ročni menjalnik (6 pr.),19888€,"(12, 11)"
Mercedes-Benz C-Razred,2017,12000 km,"diesel motor, 2143 ccm, 150 kW  / 205 KM",avtomatski menjalnik,44990€,"(12, 11)"
Opel Insignia,2017,40897 km,"diesel motor, 1598 ccm, 100 kW  / 136 KM",avtomatski menjalnik / tiptronic,16990€,"(12, 11)"
Audi A6,2018,1000 km,"diesel motor, 2967 ccm, 170 kW  / 232 KM",avtomatski menjalnik / tiptronic,99357€,"(12, 11)"
Seat Leon,2001,331267 km,"bencinski motor + plin, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),1350€,"(12, 11)"
Opel Corsa,2018,160 km,"bencinski motor, 1398 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),10990€,"(12, 11)"
Audi A6,1998,488000 km,"diesel motor, 2496 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),1150€,"(12, 11)"
Mercedes-Benz A-Razred,2014,140520 km,"diesel motor, 1461 ccm, 66 kW  / 90 KM",ročni menjalnik (6 pr.),13990€,"(12, 11)"
Audi A4,2015,137000 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),14980€,"(12, 11)"
Dacia Duster,2017,21932 km,"diesel motor, 1461 ccm, 80 kW  / 109 KM",ročni menjalnik (6 pr.),16900€,"(12, 11)"
Nissan Qashqai,2011,111000 km,"bencinski motor, 1997 ccm, 104 kW  / 142 KM",ročni menjalnik (6 pr.),9500€,"(12, 11)"
Opel Corsa,2002,256500 km,"diesel motor, 1686 ccm, 48 kW  / 65 KM",ročni menjalnik (5 pr.),870€,"(12, 11)"
Ford Focus,2015,136000 km,"diesel motor, 1997 ccm, 110 kW  / 150 KM",avtomatski menjalnik,11950€,"(12, 11)"
Peugeot 407,2010,158000 km,"diesel motor, 1997 ccm, 100 kW  / 136 KM",ročni menjalnik (6 pr.),5350€,"(12, 11)"
Škoda Octavia,2018,13000 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),34720€,"(12, 11)"
Suzuki Swift,2003,108000 km,"bencinski motor, 993 ccm, 39 kW  / 53 KM",ročni menjalnik (5 pr.),350€,"(12, 11)"
Opel Astra,2015,120984 km,"diesel motor, 1598 ccm, 81 kW  / 110 KM",ročni menjalnik (6 pr.),9550€,"(12, 11)"
Mercedes-Benz C-Razred,2004,231000 km,"diesel motor, 2148 ccm, 105 kW  / 143 KM",avtomatski menjalnik,3300€,"(12, 11)"
Volkswagen Golf,2013,175000 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",avtomatski menjalnik,13600€,"(12, 11)"
Fiat Punto,2010,200000 km,"diesel motor, 1248 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),3250€,"(12, 11)"
Peugeot 3008,2015,153965 km,"diesel motor, 1560 ccm, 88 kW  / 120 KM",avtomatski menjalnik / tiptronic,10990€,"(12, 11)"
Volkswagen Golf,1999,365000 km,"diesel motor, 1896 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),1390€,"(12, 11)"
Audi A3,2015,144000 km,"diesel motor, 1968 ccm, 110 kW  / 150 KM",ročni menjalnik (6 pr.),15880€,"(12, 11)"
Citroen Berlingo,2015,27460 km,"diesel motor, 1560 ccm, 68 kW  / 93 KM",ročni menjalnik (5 pr.),11490€,"(12, 11)"
BMW Serija 1,2008,23000 km,"diesel motor, 2000 ccm, 105 kW  / 143 KM",ročni menjalnik (6 pr.),5799€,"(12, 11)"
Volkswagen Golf,2002,200018 km,"bencinski motor, 1390 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),1150€,"(12, 11)"
Seat Leon,2015,139380 km,"diesel motor, 1598 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),11290€,"(12, 11)"
Ford S-Max,2008,250000 km,"diesel motor, 1997 ccm, 103 kW  / 140 KM",avtomatski menjalnik,4970€,"(12, 11)"
BMW Serija 3,2015,28300 km,"diesel motor, 1995 ccm, 105 kW  / 143 KM",ročni menjalnik (6 pr.),18990€,"(12, 11)"
Renault Megane,2003,189300 km,"bencinski motor, 1598 ccm, 83 kW  / 113 KM",ročni menjalnik (5 pr.),1250€,"(12, 11)"
Volvo XC70,2015,125095 km,"diesel motor, 2400 ccm, 133 kW  / 181 KM",ročni menjalnik (6 pr.),21990€,"(12, 11)"
Hyundai Accent,2006,67000 km,"bencinski motor, 1599 ccm, 77 kW  / 105 KM",ročni menjalnik (5 pr.),1850€,"(12, 11)"
Škoda Fabia,2016,128717 km,"diesel motor, 1422 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),9390€,"(12, 11)"
Kia Pro_Ceed,2008,117000 km,"diesel motor, 1582 ccm, 85 kW  / 116 KM",ročni menjalnik (5 pr.),4890€,"(12, 11)"
Škoda Octavia,2009,150000 km,"bencinski motor, 1984 ccm, 147 kW  / 200 KM",avtomatski menjalnik,10880€,"(12, 11)"
Mazda Mazda5,2012,150000 km,"diesel motor, 1560 ccm, 85 kW  / 116 KM",ročni menjalnik (6 pr.),7990€,"(12, 11)"
Opel Astra,2009,244000 km,"diesel motor, 1686 ccm, 74 kW  / 101 KM",ročni menjalnik (5 pr.),2700€,"(12, 11)"
Fiat Punto,1999,62263 km,"bencinski motor, 1108 ccm, 40 kW  / 55 KM",ročni menjalnik (5 pr.),300€,"(12, 11)"
BMW Serija X6,2008,66000 km,"bencinski motor, 4395 ccm, 300 kW  / 409 KM",avtomatski menjalnik / tiptronic,19700€,"(12, 11)"
Chevrolet Cruze,2013,84000 km,"bencinski motor, 1362 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),6490€,"(12, 11)"
Škoda Octavia,2015,140000 km,"diesel motor, 1968 ccm, 135 kW  / 184 KM",avtomatski menjalnik,17680€,"(12, 11)"
Peugeot 407,2008,356000 km,"diesel motor, 1997 ccm, 100 kW  / 136 KM",ročni menjalnik (6 pr.),3200€,"(12, 11)"
Renault Megane,1996,170000 km,"bencinski motor, 1600 ccm, 66 kW  / 90 KM",ročni menjalnik (5 pr.),1500€,"(12, 11)"
Chevrolet Aveo,2012,133667 km,"bencinski motor, 1399 ccm, 74 kW  / 101 KM",ročni menjalnik (5 pr.),4380€,"(12, 11)"
Ford Focus,2009,180000 km,"diesel motor, 1753 ccm, 85 kW  / 116 KM",ročni menjalnik (5 pr.),4590€,"(12, 11)"
Citroen C4,2007,214300 km,"diesel motor, 1560 ccm, 80 kW  / 109 KM",ročni menjalnik (5 pr.),3600€,"(12, 11)"
Audi A8,2002,361000 km,"diesel motor, 2496 ccm, 132 kW  / 180 KM",avtomatski menjalnik / tiptronic,3500€,"(12, 11)"
Peugeot 206,2003,150000 km,"bencinski motor, 1360 ccm, 55 kW  / 75 KM",ročni menjalnik (5 pr.),1350€,"(12, 11)"
Renault Scenic,2007,226000 km,"diesel motor, 1461 ccm, 78 kW  / 106 KM",ročni menjalnik (6 pr.),2300€,"(12, 11)"
Opel Astra,2006,189000 km,"diesel motor, 88 kW  / 120 KM",ročni menjalnik (5 pr.),2250€,"(12, 11)"
Ford Galaxy,2012,156000 km,"diesel motor, 1997 ccm, 120 kW  / 164 KM",ročni menjalnik (6 pr.),10290€,"(12, 11)"
Peugeot 508,2013,161778 km,"diesel motor, 1997 ccm, 103 kW  / 140 KM",ročni menjalnik (6 pr.),8990€,"(12, 11)"
Hyundai Getz,2007,114000 km,"bencinski motor, 1086 ccm, 49 kW  / 67 KM",ročni menjalnik (5 pr.),1700€,"(12, 11)"
